TYPE_NAME=Addr_Region;KEYS=Name
Name;Code;From_Index;To_Index;Subordination;Title;Region_Type;UID
"пняяхъ";;;;;"пняяхъ";1;"1"
"лняйбю";"127950";101000;;"name=""пняяхъ""";"лняйбю, пняяхъ";2;"2"
"лняйнбяйюъ накюярэ";;130700;;"name=""пняяхъ""";"лняйнбяйюъ накюярэ, пняяхъ";2;"3"
"ъпнякюбяйюъ накюярэ";"150999";150000;;"name=""пняяхъ""";"ъпнякюбяйюъ накюярэ, пняяхъ";2;"4"
"хбюмнбяйюъ накюярэ";"153999";153000;;"name=""пняяхъ""";"хбюмнбяйюъ накюярэ, пняяхъ";2;"5"
"йнярпнляйюъ накюярэ";"156999";156000;;"name=""пняяхъ""";"йнярпнляйюъ накюярэ, пняяхъ";2;"6"
"бнкнцндяйюъ накюярэ";"160999";160000;;"name=""пняяхъ""";"бнкнцндяйюъ накюярэ, пняяхъ";2;"7"
"юпуюмцекэяйюъ накюярэ";"163999";163000;;"name=""пняяхъ""";"юпуюмцекэяйюъ накюярэ, пняяхъ";2;"8"
"йнлх пеяосакхйю";"167999";167000;;"name=""пняяхъ""";"йнлх пеяосакхйю, пняяхъ";2;"9"
"рбепяйюъ накюярэ";"170700";170000;;"name=""пняяхъ""";"рбепяйюъ накюярэ, пняяхъ";2;"10"
"мнбцнпндяйюъ накюярэ";"173999";173000;;"name=""пняяхъ""";"мнбцнпндяйюъ накюярэ, пняяхъ";2;"11"
"ояйнбяйюъ накюярэ";"180099";180000;;"name=""пняяхъ""";"ояйнбяйюъ накюярэ, пняяхъ";2;"12"
"лсплюмяйюъ накюярэ";"183700";183000;;"name=""пняяхъ""";"лсплюмяйюъ накюярэ, пняяхъ";2;"13"
"йюпекхъ пеяосакхйю";"185700";185000;;"name=""пняяхъ""";"йюпекхъ пеяосакхйю, пняяхъ";2;"14"
"кемхмцпюдяйюъ накюярэ";"187099";187000;;"name=""пняяхъ""";"кемхмцпюдяйюъ накюярэ, пняяхъ";2;"15"
"яюмйр-оерепаспц";"190999";190000;;"name=""пняяхъ""";"яюмйр-оерепаспц, пняяхъ";2;"16"
"ялнкемяйюъ накюярэ";"214099";214000;;"name=""пняяхъ""";"ялнкемяйюъ накюярэ, пняяхъ";2;"17"
"йюкхмхмцпюдяйюъ накюярэ";"236999";236001;;"name=""пняяхъ""";"йюкхмхмцпюдяйюъ накюярэ, пняяхъ";2;"18"
"апъмяйюъ накюярэ";"241700";241000;;"name=""пняяхъ""";"апъмяйюъ накюярэ, пняяхъ";2;"19"
"йюксфяйюъ накюярэ";"248099";248000;;"name=""пняяхъ""";"йюксфяйюъ накюярэ, пняяхъ";2;"20"
"йпшл пеяосакхйю";"295999";295000;;"name=""пняяхъ""";"йпшл пеяосакхйю, пняяхъ";2;"21"
"яебюярнонкэ";"299700";299001;;"name=""пняяхъ""";"яебюярнонкэ, пняяхъ";2;"22"
"рскэяйюъ накюярэ";"300999";300000;;"name=""пняяхъ""";"рскэяйюъ накюярэ, пняяхъ";2;"23"
"нпкнбяйюъ накюярэ";"302500";302000;;"name=""пняяхъ""";"нпкнбяйюъ накюярэ, пняяхъ";2;"24"
"йспяйюъ накюярэ";"305999";305000;;"name=""пняяхъ""";"йспяйюъ накюярэ, пняяхъ";2;"25"
"аекцнпндяйюъ накюярэ";"308099";308000;;"name=""пняяхъ""";"аекцнпндяйюъ накюярэ, пняяхъ";2;"26"
"пнярнбяйюъ накюярэ";"344999";344000;;"name=""пняяхъ""";"пнярнбяйюъ накюярэ, пняяхъ";2;"27"
"йпюямндюпяйхи йпюи";"350999";350000;;"name=""пняяхъ""";"йпюямндюпяйхи йпюи, пняяхъ";2;"28"
"ярюбпнонкэяйхи йпюи";"355700";355000;;"name=""пняяхъ""";"ярюбпнонкэяйхи йпюи, пняяхъ";2;"29"
"йюклшйхъ пеяосакхйю";"358099";358000;;"name=""пняяхъ""";"йюклшйхъ пеяосакхйю, пняяхъ";2;"30"
"йюаюпдхмн-аюкйюпяйюъ пеяосакхйю";"360700";360000;;"name=""пняяхъ""";"йюаюпдхмн-аюкйюпяйюъ пеяосакхйю, пняяхъ";2;"31"
"яебепмюъ няерхъ-юкюмхъ пеяосакхйю";"362700";362000;;"name=""пняяхъ""";"яебепмюъ няерхъ-юкюмхъ пеяосакхйю, пняяхъ";2;"32"
"вевемяйюъ пеяосакхйю";"364700";364000;;"name=""пняяхъ""";"вевемяйюъ пеяосакхйю, пняяхъ";2;"33"
"дюцеярюм пеяосакхйю";"367999";367000;;"name=""пняяхъ""";"дюцеярюм пеяосакхйю, пняяхъ";2;"34"
"йюпювюебн-вепйеяяйюъ пеяосакхйю";"369999";369000;;"name=""пняяхъ""";"йюпювюебн-вепйеяяйюъ пеяосакхйю, пняяхъ";2;"35"
"юдшцеъ пеяосакхйю";"385700";385000;;"name=""пняяхъ""";"юдшцеъ пеяосакхйю, пняяхъ";2;"36"
"хмцсьерхъ пеяосакхйю";"386100";386001;;"name=""пняяхъ""";"хмцсьерхъ пеяосакхйю, пняяхъ";2;"37"
